CMDLINE mpiexec -np 4 python DgaMain.py
MEM 1.707031 1645770843.9467
CHLD 0 1.753906 1645770843.9525
CHLD 1 126.574219 1645770843.9527
CHLD 2 113.339844 1645770843.9528
CHLD 3 113.449219 1645770843.9529
CHLD 4 111.746094 1645770843.9531
MEM 1.707031 1645770844.0542
CHLD 0 1.753906 1645770844.0586
CHLD 1 126.574219 1645770844.0588
CHLD 2 113.343750 1645770844.0589
CHLD 3 113.453125 1645770844.0590
CHLD 4 111.757812 1645770844.0591
MEM 1.707031 1645770844.1605
CHLD 0 1.753906 1645770844.1677
CHLD 1 126.578125 1645770844.1678
CHLD 2 113.347656 1645770844.1679
CHLD 3 113.453125 1645770844.1680
CHLD 4 111.757812 1645770844.1681
MEM 1.707031 1645770844.2703
CHLD 0 1.753906 1645770844.2740
CHLD 1 126.761719 1645770844.2742
CHLD 2 113.347656 1645770844.2743
CHLD 3 113.457031 1645770844.2744
CHLD 4 113.183594 1645770844.2745
MEM 1.707031 1645770844.3754
CHLD 0 1.753906 1645770844.3886
CHLD 1 128.253906 1645770844.3888
CHLD 2 113.351562 1645770844.3889
CHLD 3 113.457031 1645770844.3889
CHLD 4 113.300781 1645770844.3890
MEM 1.707031 1645770844.4907
CHLD 0 1.753906 1645770844.4964
CHLD 1 128.378906 1645770844.4965
CHLD 2 113.355469 1645770844.4966
CHLD 3 113.464844 1645770844.4968
CHLD 4 113.300781 1645770844.4969
MEM 1.707031 1645770844.6028
CHLD 0 1.753906 1645770844.6074
CHLD 1 128.382812 1645770844.6076
CHLD 2 113.355469 1645770844.6077
CHLD 3 113.468750 1645770844.6078
CHLD 4 113.308594 1645770844.6080
MEM 1.707031 1645770844.7099
CHLD 0 1.753906 1645770844.7145
CHLD 1 128.382812 1645770844.7146
CHLD 2 113.515625 1645770844.7148
CHLD 3 113.468750 1645770844.7149
CHLD 4 113.312500 1645770844.7150
MEM 1.707031 1645770844.8177
CHLD 0 1.753906 1645770844.8220
CHLD 1 128.386719 1645770844.8221
CHLD 2 114.902344 1645770844.8222
CHLD 3 113.472656 1645770844.8223
CHLD 4 113.316406 1645770844.8224
MEM 1.707031 1645770844.9240
CHLD 0 1.753906 1645770844.9276
CHLD 1 128.386719 1645770844.9277
CHLD 2 115.011719 1645770844.9279
CHLD 3 114.882812 1645770844.9280
CHLD 4 113.472656 1645770844.9282
MEM 1.707031 1645770845.0291
CHLD 0 1.753906 1645770845.0354
CHLD 1 128.390625 1645770845.0355
CHLD 2 115.179688 1645770845.0356
CHLD 3 114.890625 1645770845.0358
CHLD 4 114.894531 1645770845.0359
MEM 1.707031 1645770845.1373
CHLD 0 1.753906 1645770845.1423
CHLD 1 128.390625 1645770845.1424
CHLD 2 115.273438 1645770845.1425
CHLD 3 114.890625 1645770845.1426
CHLD 4 115.128906 1645770845.1427
MEM 1.707031 1645770845.2436
CHLD 0 1.753906 1645770845.2556
CHLD 1 128.519531 1645770845.2558
CHLD 2 115.277344 1645770845.2571
CHLD 3 114.894531 1645770845.2572
CHLD 4 115.246094 1645770845.2574
MEM 1.707031 1645770845.3580
CHLD 0 1.753906 1645770845.3628
CHLD 1 129.871094 1645770845.3629
CHLD 2 115.281250 1645770845.3631
CHLD 3 114.898438 1645770845.3632
CHLD 4 115.250000 1645770845.3633
MEM 1.707031 1645770845.4649
CHLD 0 1.753906 1645770845.4714
CHLD 1 129.875000 1645770845.4715
CHLD 2 115.285156 1645770845.4716
CHLD 3 114.898438 1645770845.4717
CHLD 4 115.257812 1645770845.4719
MEM 1.707031 1645770845.5729
CHLD 0 1.753906 1645770845.5764
CHLD 1 129.882812 1645770845.5765
CHLD 2 115.285156 1645770845.5766
CHLD 3 115.027344 1645770845.5767
CHLD 4 115.257812 1645770845.5768
MEM 1.707031 1645770845.6782
CHLD 0 1.753906 1645770845.6835
CHLD 1 129.882812 1645770845.6839
CHLD 2 115.289062 1645770845.6841
CHLD 3 116.339844 1645770845.6842
CHLD 4 115.261719 1645770845.6844
MEM 1.707031 1645770845.7894
CHLD 0 1.753906 1645770845.7930
CHLD 1 129.886719 1645770845.7931
CHLD 2 115.289062 1645770845.7932
CHLD 3 116.343750 1645770845.7932
CHLD 4 115.261719 1645770845.7933
MEM 1.707031 1645770845.8944
CHLD 0 1.753906 1645770845.8971
